job_role,education,Technical skills,Soft skills,Tools & frameworks,Years of experience,resume_paragraph,combined_text,clean_text
Frontend Developer,MSc in Information Technology,"css, java, nodejs, system design, agile methodology, docker, javascript","communication, teamwork, adaptability","team collaboration, linux",3,"MSc in Information Technology graduate with 1 years of experience.
        Skilled in css, java, nodejs, system design, agile methodology, docker, javascript.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology css, java, nodejs, system design, agile methodology, docker, javascript communication, teamwork, adaptability team collaboration, linux 3 MSc in Information Technology graduate with 1 years of experience.
        Skilled in css, java, nodejs, system design, agile methodology, docker, javascript.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology css java nodejs system design agile methodology docker javascript communication teamwork adaptability team collaboration linux 3 msc information technology graduate 1 years experience skilled css java nodejs system design agile methodology docker javascript experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Frontend Developer,MSc in Information Technology,"sql, javascript, python, html, project management, linux","communication, teamwork, adaptability","team collaboration, docker",11,"Diploma in Software Development graduate with 10 years of experience.
        Skilled in sql, javascript, python, html, project management, linux.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology sql, javascript, python, html, project management, linux communication, teamwork, adaptability team collaboration, docker 11 Diploma in Software Development graduate with 10 years of experience.
        Skilled in sql, javascript, python, html, project management, linux.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology sql javascript python html project management linux communication teamwork adaptability team collaboration docker 11 diploma software development graduate 10 years experience skilled sql javascript python html project management linux worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Frontend Developer,MSc in Information Technology,"javascript, team collaboration, css, aws, problem solving, sql","communication, teamwork, adaptability","git, system design",8,"Diploma in Software Development graduate with 10 years of experience.
        Skilled in javascript, team collaboration, css, aws, problem solving, sql.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology javascript, team collaboration, css, aws, problem solving, sql communication, teamwork, adaptability git, system design 8 Diploma in Software Development graduate with 10 years of experience.
        Skilled in javascript, team collaboration, css, aws, problem solving, sql.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology javascript team collaboration css aws problem solving sql communication teamwork adaptability git system design 8 diploma software development graduate 10 years experience skilled javascript team collaboration css aws problem solving sql worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,Bachelor of Engineering,"api integration, docker, linux, nodejs, project management, git","communication, teamwork, adaptability","git, agile methodology",1,"Bachelor of Engineering graduate with 8 years of experience.
        Skilled in api integration, docker, linux, nodejs, project management, git.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering api integration, docker, linux, nodejs, project management, git communication, teamwork, adaptability git, agile methodology 1 Bachelor of Engineering graduate with 8 years of experience.
        Skilled in api integration, docker, linux, nodejs, project management, git.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering api integration docker linux nodejs project management git communication teamwork adaptability git agile methodology 1 bachelor engineering graduate 8 years experience skilled api integration docker linux nodejs project management git experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Full Stack Developer,Diploma in Software Development,"api integration, docker, microservices, problem solving, agile methodology, aws","communication, teamwork, adaptability","git, linux",11,"Diploma in Software Development graduate with 1 years of experience.
        Skilled in api integration, docker, microservices, problem solving, agile methodology, aws.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development api integration, docker, microservices, problem solving, agile methodology, aws communication, teamwork, adaptability git, linux 11 Diploma in Software Development graduate with 1 years of experience.
        Skilled in api integration, docker, microservices, problem solving, agile methodology, aws.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development api integration docker microservices problem solving agile methodology aws communication teamwork adaptability git linux 11 diploma software development graduate 1 years experience skilled api integration docker microservices problem solving agile methodology aws completed internships retail support environments passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"linux, team collaboration, project management, nodejs, java, react","communication, teamwork, adaptability","aws, git",11,"BSc in Computer Science graduate with 6 years of experience.
        Skilled in linux, team collaboration, project management, nodejs, java, react.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology linux, team collaboration, project management, nodejs, java, react communication, teamwork, adaptability aws, git 11 BSc in Computer Science graduate with 6 years of experience.
        Skilled in linux, team collaboration, project management, nodejs, java, react.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology linux team collaboration project management nodejs java react communication teamwork adaptability aws git 11 bsc computer science graduate 6 years experience skilled linux team collaboration project management nodejs java react worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,Diploma in Software Development,"data analysis, nodejs, microservices, linux, project management, system design, object oriented programming","communication, teamwork, adaptability","agile methodology, project management",1,"Bachelor of Engineering graduate with 6 years of experience.
        Skilled in data analysis, nodejs, microservices, linux, project management, system design, object oriented programming.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development data analysis, nodejs, microservices, linux, project management, system design, object oriented programming communication, teamwork, adaptability agile methodology, project management 1 Bachelor of Engineering graduate with 6 years of experience.
        Skilled in data analysis, nodejs, microservices, linux, project management, system design, object oriented programming.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development data analysis nodejs microservices linux project management system design object oriented programming communication teamwork adaptability agile methodology project management 1 bachelor engineering graduate 6 years experience skilled data analysis nodejs microservices linux project management system design object oriented programming contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Full Stack Developer,Bachelor of Engineering,"team collaboration, docker, api integration, sql, microservices, git","communication, teamwork, adaptability","git, docker",12,"Diploma in Software Development graduate with 6 years of experience.
        Skilled in team collaboration, docker, api integration, sql, microservices, git.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering team collaboration, docker, api integration, sql, microservices, git communication, teamwork, adaptability git, docker 12 Diploma in Software Development graduate with 6 years of experience.
        Skilled in team collaboration, docker, api integration, sql, microservices, git.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering team collaboration docker api integration sql microservices git communication teamwork adaptability git docker 12 diploma software development graduate 6 years experience skilled team collaboration docker api integration sql microservices git worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"python, api integration, system design, problem solving, react, team collaboration","communication, teamwork, adaptability","docker, system design",11,"Diploma in Software Development graduate with 6 years of experience.
        Skilled in python, api integration, system design, problem solving, react, team collaboration.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology python, api integration, system design, problem solving, react, team collaboration communication, teamwork, adaptability docker, system design 11 Diploma in Software Development graduate with 6 years of experience.
        Skilled in python, api integration, system design, problem solving, react, team collaboration.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology python api integration system design problem solving react team collaboration communication teamwork adaptability docker system design 11 diploma software development graduate 6 years experience skilled python api integration system design problem solving react team collaboration participated crossfunctional team projects passionate learning emerging technologies improving system efficiency
Full Stack Developer,Diploma in Software Development,"agile methodology, api integration, pytorch, linux, aws, team collaboration, microservices","communication, teamwork, adaptability","git, problem solving",2,"Diploma in Software Development graduate with 2 years of experience.
        Skilled in agile methodology, api integration, pytorch, linux, aws, team collaboration, microservices.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development agile methodology, api integration, pytorch, linux, aws, team collaboration, microservices communication, teamwork, adaptability git, problem solving 2 Diploma in Software Development graduate with 2 years of experience.
        Skilled in agile methodology, api integration, pytorch, linux, aws, team collaboration, microservices.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development agile methodology api integration pytorch linux aws team collaboration microservices communication teamwork adaptability git problem solving 2 diploma software development graduate 2 years experience skilled agile methodology api integration pytorch linux aws team collaboration microservices experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Full Stack Developer,Bachelor of Engineering,"api integration, problem solving, encryption, project management, linux, java, microservices","communication, teamwork, adaptability","git, system design",5,"MSc in Information Technology graduate with 2 years of experience.
        Skilled in api integration, problem solving, encryption, project management, linux, java, microservices.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering api integration, problem solving, encryption, project management, linux, java, microservices communication, teamwork, adaptability git, system design 5 MSc in Information Technology graduate with 2 years of experience.
        Skilled in api integration, problem solving, encryption, project management, linux, java, microservices.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering api integration problem solving encryption project management linux java microservices communication teamwork adaptability git system design 5 msc information technology graduate 2 years experience skilled api integration problem solving encryption project management linux java microservices contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"python, system design, team collaboration, aws, nlp, react, nodejs","communication, teamwork, adaptability","linux, docker",12,"Diploma in Software Development graduate with 4 years of experience.
        Skilled in python, system design, team collaboration, aws, nlp, react, nodejs.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology python, system design, team collaboration, aws, nlp, react, nodejs communication, teamwork, adaptability linux, docker 12 Diploma in Software Development graduate with 4 years of experience.
        Skilled in python, system design, team collaboration, aws, nlp, react, nodejs.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology python system design team collaboration aws nlp react nodejs communication teamwork adaptability linux docker 12 diploma software development graduate 4 years experience skilled python system design team collaboration aws nlp react nodejs completed internships retail support environments passionate learning emerging technologies improving system efficiency
Full Stack Developer,Diploma in Software Development,"react, linux, api integration, agile methodology, system design, data analysis","communication, teamwork, adaptability","agile methodology, git",9,"MSc in Information Technology graduate with 8 years of experience.
        Skilled in react, linux, api integration, agile methodology, system design, data analysis.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development react, linux, api integration, agile methodology, system design, data analysis communication, teamwork, adaptability agile methodology, git 9 MSc in Information Technology graduate with 8 years of experience.
        Skilled in react, linux, api integration, agile methodology, system design, data analysis.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development react linux api integration agile methodology system design data analysis communication teamwork adaptability agile methodology git 9 msc information technology graduate 8 years experience skilled react linux api integration agile methodology system design data analysis worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,Diploma in Software Development,"api development, microservices, api integration, data analysis, problem solving, system design, agile methodology","communication, teamwork, adaptability","problem solving, docker",11,"Diploma in Software Development graduate with 4 years of experience.
        Skilled in api development, microservices, api integration, data analysis, problem solving, system design, agile methodology.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development api development, microservices, api integration, data analysis, problem solving, system design, agile methodology communication, teamwork, adaptability problem solving, docker 11 Diploma in Software Development graduate with 4 years of experience.
        Skilled in api development, microservices, api integration, data analysis, problem solving, system design, agile methodology.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development api development microservices api integration data analysis problem solving system design agile methodology communication teamwork adaptability problem solving docker 11 diploma software development graduate 4 years experience skilled api development microservices api integration data analysis problem solving system design agile methodology completed internships retail support environments passionate learning emerging technologies improving system efficiency
Full Stack Developer,BSc in Computer Science,"python, nodejs, java, docker, agile methodology, microservices","communication, teamwork, adaptability","aws, java",2,"MSc in Information Technology graduate with 8 years of experience.
        Skilled in python, nodejs, java, docker, agile methodology, microservices.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science python, nodejs, java, docker, agile methodology, microservices communication, teamwork, adaptability aws, java 2 MSc in Information Technology graduate with 8 years of experience.
        Skilled in python, nodejs, java, docker, agile methodology, microservices.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science python nodejs java docker agile methodology microservices communication teamwork adaptability aws java 2 msc information technology graduate 8 years experience skilled python nodejs java docker agile methodology microservices contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"git, nodejs, problem solving, linux, microservices, sql","communication, teamwork, adaptability","docker, python",1,"Diploma in Software Development graduate with 6 years of experience.
        Skilled in git, nodejs, problem solving, linux, microservices, sql.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology git, nodejs, problem solving, linux, microservices, sql communication, teamwork, adaptability docker, python 1 Diploma in Software Development graduate with 6 years of experience.
        Skilled in git, nodejs, problem solving, linux, microservices, sql.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology git nodejs problem solving linux microservices sql communication teamwork adaptability docker python 1 diploma software development graduate 6 years experience skilled git nodejs problem solving linux microservices sql contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"aws, sql, data analysis, react, problem solving, microservices","communication, teamwork, adaptability","sql, python",10,"MSc in Information Technology graduate with 8 years of experience.
        Skilled in aws, sql, data analysis, react, problem solving, microservices.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology aws, sql, data analysis, react, problem solving, microservices communication, teamwork, adaptability sql, python 10 MSc in Information Technology graduate with 8 years of experience.
        Skilled in aws, sql, data analysis, react, problem solving, microservices.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology aws sql data analysis react problem solving microservices communication teamwork adaptability sql python 10 msc information technology graduate 8 years experience skilled aws sql data analysis react problem solving microservices participated crossfunctional team projects passionate learning emerging technologies improving system efficiency
Full Stack Developer,BSc in Computer Science,"docker, team collaboration, react, statistics, linux, java, api integration","communication, teamwork, adaptability","docker, data analysis",5,"MSc in Information Technology graduate with 8 years of experience.
        Skilled in docker, team collaboration, react, statistics, linux, java, api integration.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science docker, team collaboration, react, statistics, linux, java, api integration communication, teamwork, adaptability docker, data analysis 5 MSc in Information Technology graduate with 8 years of experience.
        Skilled in docker, team collaboration, react, statistics, linux, java, api integration.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science docker team collaboration react statistics linux java api integration communication teamwork adaptability docker data analysis 5 msc information technology graduate 8 years experience skilled docker team collaboration react statistics linux java api integration worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,BSc in Computer Science,"python, data analysis, api integration, docker, agile methodology, react","communication, teamwork, adaptability","aws, git",11,"BSc in Computer Science graduate with 7 years of experience.
        Skilled in python, data analysis, api integration, docker, agile methodology, react.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science python, data analysis, api integration, docker, agile methodology, react communication, teamwork, adaptability aws, git 11 BSc in Computer Science graduate with 7 years of experience.
        Skilled in python, data analysis, api integration, docker, agile methodology, react.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science python data analysis api integration docker agile methodology react communication teamwork adaptability aws git 11 bsc computer science graduate 7 years experience skilled python data analysis api integration docker agile methodology react worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"project management, react, sql, api integration, data analysis, java, flutter","communication, teamwork, adaptability","git, java",6,"Diploma in Software Development graduate with 7 years of experience.
        Skilled in project management, react, sql, api integration, data analysis, java, flutter.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology project management, react, sql, api integration, data analysis, java, flutter communication, teamwork, adaptability git, java 6 Diploma in Software Development graduate with 7 years of experience.
        Skilled in project management, react, sql, api integration, data analysis, java, flutter.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology project management react sql api integration data analysis java flutter communication teamwork adaptability git java 6 diploma software development graduate 7 years experience skilled project management react sql api integration data analysis java flutter worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,Diploma in Software Development,"azure services, docker, aws, project management, python, microservices, react","communication, teamwork, adaptability","java, data analysis",9,"MSc in Information Technology graduate with 7 years of experience.
        Skilled in azure services, docker, aws, project management, python, microservices, react.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development azure services, docker, aws, project management, python, microservices, react communication, teamwork, adaptability java, data analysis 9 MSc in Information Technology graduate with 7 years of experience.
        Skilled in azure services, docker, aws, project management, python, microservices, react.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development azure services docker aws project management python microservices react communication teamwork adaptability java data analysis 9 msc information technology graduate 7 years experience skilled azure services docker aws project management python microservices react participated crossfunctional team projects passionate learning emerging technologies improving system efficiency
Full Stack Developer,BSc in Computer Science,"agile methodology, aws, nodejs, java, api integration, docker","communication, teamwork, adaptability","agile methodology, system design",8,"Diploma in Software Development graduate with 2 years of experience.
        Skilled in agile methodology, aws, nodejs, java, api integration, docker.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science agile methodology, aws, nodejs, java, api integration, docker communication, teamwork, adaptability agile methodology, system design 8 Diploma in Software Development graduate with 2 years of experience.
        Skilled in agile methodology, aws, nodejs, java, api integration, docker.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science agile methodology aws nodejs java api integration docker communication teamwork adaptability agile methodology system design 8 diploma software development graduate 2 years experience skilled agile methodology aws nodejs java api integration docker participated crossfunctional team projects passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"git, data analysis, project management, team collaboration, microservices, api integration","communication, teamwork, adaptability","agile methodology, java",1,"Bachelor of Engineering graduate with 4 years of experience.
        Skilled in git, data analysis, project management, team collaboration, microservices, api integration.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology git, data analysis, project management, team collaboration, microservices, api integration communication, teamwork, adaptability agile methodology, java 1 Bachelor of Engineering graduate with 4 years of experience.
        Skilled in git, data analysis, project management, team collaboration, microservices, api integration.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology git data analysis project management team collaboration microservices api integration communication teamwork adaptability agile methodology java 1 bachelor engineering graduate 4 years experience skilled git data analysis project management team collaboration microservices api integration contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Full Stack Developer,Bachelor of Engineering,"git, linux, problem solving, api integration, nodejs, sql","communication, teamwork, adaptability","project management, python",9,"Bachelor of Engineering graduate with 3 years of experience.
        Skilled in git, linux, problem solving, api integration, nodejs, sql.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering git, linux, problem solving, api integration, nodejs, sql communication, teamwork, adaptability project management, python 9 Bachelor of Engineering graduate with 3 years of experience.
        Skilled in git, linux, problem solving, api integration, nodejs, sql.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering git linux problem solving api integration nodejs sql communication teamwork adaptability project management python 9 bachelor engineering graduate 3 years experience skilled git linux problem solving api integration nodejs sql participated crossfunctional team projects passionate learning emerging technologies improving system efficiency
Full Stack Developer,Bachelor of Engineering,"aws, python, linux, api integration, git, microservices","communication, teamwork, adaptability","sql, problem solving",11,"MSc in Information Technology graduate with 10 years of experience.
        Skilled in aws, python, linux, api integration, git, microservices.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering aws, python, linux, api integration, git, microservices communication, teamwork, adaptability sql, problem solving 11 MSc in Information Technology graduate with 10 years of experience.
        Skilled in aws, python, linux, api integration, git, microservices.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering aws python linux api integration git microservices communication teamwork adaptability sql problem solving 11 msc information technology graduate 10 years experience skilled aws python linux api integration git microservices contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Full Stack Developer,BSc in Computer Science,"java, problem solving, react, git, python, api integration","communication, teamwork, adaptability","docker, data analysis",8,"MSc in Information Technology graduate with 4 years of experience.
        Skilled in java, problem solving, react, git, python, api integration.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science java, problem solving, react, git, python, api integration communication, teamwork, adaptability docker, data analysis 8 MSc in Information Technology graduate with 4 years of experience.
        Skilled in java, problem solving, react, git, python, api integration.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science java problem solving react git python api integration communication teamwork adaptability docker data analysis 8 msc information technology graduate 4 years experience skilled java problem solving react git python api integration experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Full Stack Developer,Diploma in Software Development,"microservices, siem, docker, react, git, system design, data analysis","communication, teamwork, adaptability","sql, problem solving",8,"BSc in Computer Science graduate with 6 years of experience.
        Skilled in microservices, siem, docker, react, git, system design, data analysis.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development microservices, siem, docker, react, git, system design, data analysis communication, teamwork, adaptability sql, problem solving 8 BSc in Computer Science graduate with 6 years of experience.
        Skilled in microservices, siem, docker, react, git, system design, data analysis.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development microservices siem docker react git system design data analysis communication teamwork adaptability sql problem solving 8 bsc computer science graduate 6 years experience skilled microservices siem docker react git system design data analysis contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"agile methodology, docker, microservices, sql, api integration, data analysis","communication, teamwork, adaptability","team collaboration, data analysis",3,"Bachelor of Engineering graduate with 10 years of experience.
        Skilled in agile methodology, docker, microservices, sql, api integration, data analysis.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology agile methodology, docker, microservices, sql, api integration, data analysis communication, teamwork, adaptability team collaboration, data analysis 3 Bachelor of Engineering graduate with 10 years of experience.
        Skilled in agile methodology, docker, microservices, sql, api integration, data analysis.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology agile methodology docker microservices sql api integration data analysis communication teamwork adaptability team collaboration data analysis 3 bachelor engineering graduate 10 years experience skilled agile methodology docker microservices sql api integration data analysis experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"problem solving, data analysis, nodejs, microservices, linux, system design","communication, teamwork, adaptability","python, system design",9,"Diploma in Software Development graduate with 4 years of experience.
        Skilled in problem solving, data analysis, nodejs, microservices, linux, system design.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology problem solving, data analysis, nodejs, microservices, linux, system design communication, teamwork, adaptability python, system design 9 Diploma in Software Development graduate with 4 years of experience.
        Skilled in problem solving, data analysis, nodejs, microservices, linux, system design.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology problem solving data analysis nodejs microservices linux system design communication teamwork adaptability python system design 9 diploma software development graduate 4 years experience skilled problem solving data analysis nodejs microservices linux system design completed internships retail support environments passionate learning emerging technologies improving system efficiency
Full Stack Developer,MSc in Information Technology,"aws, system design, nodejs, microservices, data analysis, docker","communication, teamwork, adaptability","git, docker",5,"BSc in Computer Science graduate with 7 years of experience.
        Skilled in aws, system design, nodejs, microservices, data analysis, docker.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology aws, system design, nodejs, microservices, data analysis, docker communication, teamwork, adaptability git, docker 5 BSc in Computer Science graduate with 7 years of experience.
        Skilled in aws, system design, nodejs, microservices, data analysis, docker.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology aws system design nodejs microservices data analysis docker communication teamwork adaptability git docker 5 bsc computer science graduate 7 years experience skilled aws system design nodejs microservices data analysis docker experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Full Stack Developer,Bachelor of Engineering,"api integration, microservices, data analysis, project management, problem solving, aws","communication, teamwork, adaptability","project management, data analysis",11,"MSc in Information Technology graduate with 8 years of experience.
        Skilled in api integration, microservices, data analysis, project management, problem solving, aws.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering api integration, microservices, data analysis, project management, problem solving, aws communication, teamwork, adaptability project management, data analysis 11 MSc in Information Technology graduate with 8 years of experience.
        Skilled in api integration, microservices, data analysis, project management, problem solving, aws.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering api integration microservices data analysis project management problem solving aws communication teamwork adaptability project management data analysis 11 msc information technology graduate 8 years experience skilled api integration microservices data analysis project management problem solving aws worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,Diploma in Software Development,"sql, system design, react, project management, microservices, linux","communication, teamwork, adaptability","docker, data analysis",10,"BSc in Computer Science graduate with 2 years of experience.
        Skilled in sql, system design, react, project management, microservices, linux.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development sql, system design, react, project management, microservices, linux communication, teamwork, adaptability docker, data analysis 10 BSc in Computer Science graduate with 2 years of experience.
        Skilled in sql, system design, react, project management, microservices, linux.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development sql system design react project management microservices linux communication teamwork adaptability docker data analysis 10 bsc computer science graduate 2 years experience skilled sql system design react project management microservices linux worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Full Stack Developer,Bachelor of Engineering,"react, microservices, data analysis, docker, sql, git","communication, teamwork, adaptability","sql, linux",12,"Diploma in Software Development graduate with 2 years of experience.
        Skilled in react, microservices, data analysis, docker, sql, git.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering react, microservices, data analysis, docker, sql, git communication, teamwork, adaptability sql, linux 12 Diploma in Software Development graduate with 2 years of experience.
        Skilled in react, microservices, data analysis, docker, sql, git.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering react microservices data analysis docker sql git communication teamwork adaptability sql linux 12 diploma software development graduate 2 years experience skilled react microservices data analysis docker sql git worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
